t_us,openloop_el_angle_rad,sensor_raw,sensor_error
1192699,-52.481419,2615,0
1193948,-52.53643,2616,0
1195198,-52.591442,2618,0
1196448,-52.646454,2621,0
1197699,-52.701466,2048,0
1198948,-52.756477,2048,0
1200198,-52.811489,2047,0
1201448,-52.866501,1464,0
1202699,-52.921513,1462,0
1203948,-52.976524,1460,0
1205212,-53.031536,1458,0
1206448,-53.086548,2047,0
1207699,-53.14156,1452,0
1208948,-53.196571,2647,0
1210198,-53.251583,2650,0
1211448,-53.306595,2653,0
1212699,-53.361607,2656,0
1213948,-53.416618,2660,0
1215198,-53.47163,2662,0
1216448,-53.526642,2666,0
1217699,-53.581654,1427,0
1218954,-53.636665,2671,0
1220198,-53.691677,1420,0
1221448,-53.746689,1417,0
1222699,-53.801701,1413,0
1223948,-53.856712,1410,0
1225212,-53.911724,1407,0
1226448,-53.966736,2047,0
1227705,-54.021748,1399,0
1228948,-54.076759,2699,0
1230198,-54.131771,2703,0
1231448,-54.186783,2706,0
1232699,-54.241795,2709,0
1233947,-54.296806,2711,0
1235197,-54.351818,2713,0
1236447,-54.40683,2715,0
1237699,-54.461842,2048,0
